latitude,longitude,elevation
41.32067398734178,-106.3019999113924,3101.015380859375
41.32067398734178,-106.30124041772152,3118.404296875
41.32067398734178,-106.30048092405063,3137.58642578125
41.32067398734178,-106.29972143037975,3154.9111328125
41.32067398734178,-106.29896193670885,3172.351806640625
41.32067398734178,-106.29820244303797,3191.981201171875
41.32067398734178,-106.29744294936708,3209.093017578125
41.32067398734178,-106.2966834556962,3222.98486328125
41.32067398734178,-106.29592396202531,3227.828857421875
41.32067398734178,-106.29516446835443,3230.98974609375
41.32067398734178,-106.29440497468354,3233.9892578125
41.32067398734178,-106.29364548101265,3235.8203125
41.32067398734178,-106.29288598734176,3237.320068359375
41.32067398734178,-106.29212649367088,3238.159912109375
41.32067398734178,-106.291367,3237.802734375
41.32143348101266,-106.351367,3263.226318359375
41.32143348101266,-106.35060750632911,3270.900634765625
41.32143348101266,-106.34984801265823,3273.4052734375
41.32143348101266,-106.34908851898734,3274.75439453125
41.32143348101266,-106.34832902531645,3276.84423828125
41.32143348101266,-106.34756953164556,3277.9248046875
41.32143348101266,-106.34681003797468,3279.091796875
41.32143348101266,-106.3460505443038,3277.968017578125
41.32143348101266,-106.34529105063291,3275.1572265625
41.32143348101266,-106.34453155696202,3270.22216796875
41.32143348101266,-106.34377206329114,3260.465087890625
41.32143348101266,-106.34301256962024,3248.144287109375
41.32143348101266,-106.34225307594936,3236.3759765625
41.32143348101266,-106.34149358227847,3228.130615234375
41.32143348101266,-106.34073408860759,3219.191162109375
41.32143348101266,-106.3399745949367,3211.64013671875
41.32143348101266,-106.33921510126582,3210.980712890625
41.32143348101266,-106.33845560759494,3200.886962890625
41.32143348101266,-106.33769611392404,3198.868408203125
41.32143348101266,-106.33693662025316,3192.57177734375
41.32143348101266,-106.33617712658227,3196.891357421875
41.32143348101266,-106.33541763291139,3202.32470703125
41.32143348101266,-106.3346581392405,3202.6298828125
41.32143348101266,-106.33389864556962,3193.725341796875
41.32143348101266,-106.33313915189873,3191.72705078125
41.32143348101266,-106.33237965822784,3170.454833984375
41.32143348101266,-106.33162016455695,3165.098388671875
41.32143348101266,-106.33086067088607,3163.386474609375
41.32143348101266,-106.33010117721518,3161.410400390625
41.32143348101266,-106.3293416835443,3152.191650390625
41.32143348101266,-106.32858218987342,3159.03515625
41.32143348101266,-106.32782269620253,3167.825439453125
41.32143348101266,-106.32706320253165,3183.018310546875
41.32143348101266,-106.32630370886075,3193.6474609375
41.32143348101266,-106.32554421518986,3197.6845703125
41.32143348101266,-106.32478472151898,3199.258056640625
41.32143348101266,-106.3240252278481,3200.655029296875
41.32143348101266,-106.32326573417721,3202.0517578125
41.32143348101266,-106.32250624050633,3197.799072265625
41.32143348101266,-106.32174674683544,3191.951416015625
41.32143348101266,-106.32098725316455,3182.724609375
41.32143348101266,-106.32022775949366,3166.235595703125
41.32143348101266,-106.31946826582278,3155.8076171875
41.32143348101266,-106.3187087721519,3142.45703125
41.32143348101266,-106.31794927848101,3137.4560546875
41.32143348101266,-106.31718978481013,3141.435791015625
41.32143348101266,-106.31643029113924,3127.726318359375
41.32143348101266,-106.31567079746834,3137.814208984375
41.32143348101266,-106.31491130379746,3150.798828125
41.32143348101266,-106.31415181012657,3154.89501953125
41.32143348101266,-106.31339231645569,3143.193115234375
41.32143348101266,-106.3126328227848,3101.55712890625
41.32143348101266,-106.31187332911392,3064.340087890625
41.32143348101266,-106.31111383544304,3034.08251953125
41.32143348101266,-106.31035434177215,3006.119873046875
41.32143348101266,-106.30959484810126,3003.23095703125
41.32143348101266,-106.30883535443037,3002.878662109375
41.32143348101266,-106.30807586075949,3004.1552734375
41.32143348101266,-106.3073163670886,3004.201904296875
41.32143348101266,-106.30655687341772,3011.4189453125
41.32143348101266,-106.30579737974683,3021.83154296875
41.32143348101266,-106.30503788607595,3040.37939453125
41.32143348101266,-106.30427839240505,3057.3017578125
41.32143348101266,-106.30351889873417,3084.31201171875
41.32143348101266,-106.30275940506328,3103.8759765625
41.32143348101266,-106.3019999113924,3108.2734375
41.32143348101266,-106.30124041772152,3120.124267578125
41.32143348101266,-106.30048092405063,3139.008056640625
41.32143348101266,-106.29972143037975,3161.5546875
41.32143348101266,-106.29896193670885,3179.62841796875
41.32143348101266,-106.29820244303797,3194.545654296875
41.32143348101266,-106.29744294936708,3207.201904296875
41.32143348101266,-106.2966834556962,3215.6328125
41.32143348101266,-106.29592396202531,3225.86865234375
41.32143348101266,-106.29516446835443,3229.402099609375
41.32143348101266,-106.29440497468354,3232.9130859375
41.32143348101266,-106.29364548101265,3236.4384765625
41.32143348101266,-106.29288598734176,3239.161376953125
41.32143348101266,-106.29212649367088,3240.122802734375
41.32143348101266,-106.291367,3241.04833984375
41.322192974683546,-106.351367,3251.35107421875
41.322192974683546,-106.35060750632911,3261.930419921875
41.322192974683546,-106.34984801265823,3263.94091796875
41.322192974683546,-106.34908851898734,3267.47265625
41.322192974683546,-106.34832902531645,3271.852294921875
41.322192974683546,-106.34756953164556,3274.155029296875
41.322192974683546,-106.34681003797468,3276.37109375
41.322192974683546,-106.3460505443038,3279.400146484375
41.322192974683546,-106.34529105063291,3281.98291015625
41.322192974683546,-106.34453155696202,3281.746826171875
41.322192974683546,-106.34377206329114,3279.514404296875
41.322192974683546,-106.34301256962024,3267.279052734375
41.322192974683546,-106.34225307594936,3247.2880859375
